,,,,Overall,,,,,,,PP,,SH,,Defense,
Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Nick Suzuki,MON,C,28,8,14,22,-8,6,66,0,5,6,0,0,16,13
Evan Bouchard,EDM,D,25,8,20,28,-4,10,74,3,4,10,0,0,13,35
Ross Colton,COL,LW,28,8,6,14,0,33,57,1,1,0,0,0,39,16
Sam Lafferty,VAN,RW,28,8,7,15,15,22,36,2,0,0,1,0,43,15
Drake Batherson,OTT,RW,22,8,11,19,0,20,54,1,2,4,0,0,26,9
Jesperi Kotkaniemi,CAR,LW,27,8,7,15,-4,18,59,0,1,1,0,1,17,13
Alexander Holtz,NJ,RW,26,8,4,12,-5,8,43,1,0,1,0,0,15,5
Alexis Lafreniere,NYR,LW,26,8,8,16,-3,8,62,2,1,1,0,0,18,5
Quinton Byfield,LA,C,25,8,13,21,13,12,49,2,2,3,0,0,9,7
Adam Fantilli,CLS,C,30,8,8,16,-8,8,75,1,1,1,0,0,22,14
Leo Carlsson,ANH,C,19,8,5,13,-5,4,42,0,3,3,0,0,12,7
Matt Boldy,MIN,LW,19,7,9,16,1,24,52,2,2,2,0,0,3,6
Cole Caufield,MON,RW,28,7,13,20,0,8,105,3,2,7,0,0,21,2
Alex Newhook,MON,C,23,7,6,13,-5,8,31,1,0,3,0,0,16,8
Simon Holmstrom,NYI,RW,26,7,3,10,1,8,26,0,0,0,3,1,4,17
Joe Veleno,DET,C,27,7,3,10,-2,6,32,0,1,0,0,0,21,11
Rasmus Dahlin,BUF,D,28,7,16,23,-8,20,75,0,2,5,0,0,55,50
Yegor Sharangovich,CGY,LW,28,7,7,14,-7,4,53,0,0,0,2,1,3,14
Martin Necas,CAR,C,27,7,12,19,-10,10,64,2,1,3,0,0,23,11
Daniel Sprong,DET,RW,27,7,11,18,6,10,67,0,0,4,0,0,9,4
Anthony Cirelli,TB,C,28,7,8,15,-4,20,51,0,2,0,0,0,12,29
Carl Grundstrom,LA,LW,25,7,2,9,6,6,51,1,1,0,1,0,52,8
Tage Thompson,BUF,C,20,7,8,15,-7,12,63,2,1,3,2,0,17,10
Anders Lee,NYI,C,27,7,3,10,0,15,63,1,2,0,0,0,37,21
Phillip Danault,LA,C,25,7,10,17,6,6,56,1,3,1,0,1,17,13
Mika Zibanejad,NYR,C,26,7,14,21,4,16,66,1,3,8,0,1,10,23
Nino Niederreiter,WPG,RW,26,7,9,16,13,8,64,1,1,0,0,0,30,17
Reilly Smith,PIT,RW,26,7,7,14,-1,4,54,1,1,3,0,0,12,7
Erik Haula,NJ,C,21,7,6,13,0,20,40,2,1,2,1,1,21,11
Oliver Ekman-Larsson,FLA,D,27,7,7,14,1,26,46,2,1,5,0,0,18,38
Nazem Kadri,CGY,C,28,7,13,20,-9,17,85,1,1,2,0,0,22,5
Matt Duchene,DAL,C,26,7,14,21,4,8,61,4,1,5,0,0,12,17
Drew Doughty,LA,D,25,7,8,15,12,16,45,3,1,3,0,0,35,41
David Perron,DET,RW,26,7,6,13,-2,33,50,2,4,3,0,0,18,9
Anthony Mantha,WAS,RW,21,7,3,10,5,4,36,0,0,1,0,0,12,8
Elias Lindholm,CGY,C,28,7,10,17,-2,6,68,2,1,2,1,1,22,16
Ryan Hartman,MIN,RW,23,7,6,13,1,18,52,0,1,0,0,0,24,17
Nikolaj Ehlers,WPG,LW,26,7,9,16,5,17,66,2,0,2,0,0,7,4
Kevin Fiala,LA,LW,25,6,19,25,-1,30,66,0,1,8,0,0,9,13
J.T. Compher,DET,C,24,6,13,19,7,18,31,0,2,2,1,0,10,16
Anthony Duclair,SJ,LW,25,6,4,10,-6,20,43,1,1,2,0,0,13,14
Mikael Backlund,CGY,C,28,6,8,14,3,8,68,1,1,0,0,1,20,12
Roman Josi,NSH,D,28,6,16,22,-3,20,101,1,3,7,0,1,18,50
Erik Karlsson,PIT,D,26,6,13,19,12,16,62,1,2,2,0,0,10,30
Evgenii Dadonov,DAL,RW,25,6,4,10,-9,2,33,2,1,1,0,0,11,11
Nick Bjugstad,ARI,C,27,6,11,17,5,26,50,1,1,2,1,0,39,19
Mats Zuccarello,MIN,RW,26,6,22,28,-2,8,68,0,1,12,0,0,5,16
Vladimir Tarasenko,OTT,RW,22,6,13,19,11,8,43,2,1,4,0,0,22,9
Sean Couturier,PHI,C,25,6,13,19,8,10,66,2,1,3,0,1,6,16
Vincent Trocheck,NYR,C,26,6,19,25,1,31,59,1,4,5,0,0,38,22
Tyler Johnson,CHI,C,27,6,4,10,-13,10,40,0,1,2,0,0,12,13
Calle Jarnkrok,TOR,C,25,6,8,14,10,8,47,2,0,1,0,1,16,8
Kevin Hayes,STL,C,27,6,6,12,2,8,46,2,0,0,0,0,12,4
Kevin Stenlund,FLA,C,27,6,2,8,-1,30,26,2,0,0,0,0,20,17
Michael Bunting,CAR,LW,26,6,11,17,-7,33,40,0,3,3,0,0,5,8
Thomas Novak,NSH,C,17,6,6,12,-2,6,28,1,4,2,0,0,1,4
Yakov Trenin,NSH,C,27,6,2,8,8,4,44,2,0,0,0,1,69,10
Andrew Mangiapane,CGY,LW,27,6,9,15,1,27,44,0,1,0,0,0,31,11
MacKenzie Weegar,CGY,D,28,6,10,16,1,18,72,1,1,3,0,0,47,67
Evan Rodrigues,FLA,C,27,6,15,21,15,10,68,1,1,3,0,0,24,9
Jimmy Vesey,NYR,LW,24,6,3,9,5,11,33,3,0,0,0,0,16,13
Nico Hischier,NJ,C,15,6,6,12,2,10,30,2,2,1,0,0,7,7
Eeli Tolvanen,SEA,LW,29,6,12,18,0,8,59,0,0,5,0,0,61,36
Casey Mittelstadt,BUF,C,29,6,16,22,1,16,46,0,0,3,0,0,6,15
Trent Frederic,BOS,C,26,6,6,12,3,20,33,0,0,0,0,0,48,15
Josh Norris,OTT,C,19,6,6,12,-2,10,56,1,2,4,0,0,23,9
Philipp Kurashev,CHI,LW,21,6,10,16,-7,6,38,2,2,1,0,0,7,14
Tanner Jeannot,TB,LW,29,6,5,11,-7,52,39,0,1,1,0,0,101,13
Mason Appleton,WPG,C,26,6,9,15,9,14,37,1,0,0,1,1,24,17
Dmitri Vornkov,FA,LW,24,6,9,15,4,23,32,0,0,1,0,0,25,12
Dmitri Voronkov,CLS,C,24,6,9,15,4,23,32,0,0,1,0,0,25,12
Tim Stutzle,OTT,LW,22,6,20,26,10,12,69,1,0,5,0,0,23,7
Thomas Harley,DAL,D,24,6,4,10,2,4,35,0,1,1,0,0,11,45
Arthur Kaliyev,LA,RW,23,6,6,12,7,10,47,0,3,0,0,0,9,5
Connor Dewar,MIN,C,26,6,2,8,-2,13,28,0,0,0,1,0,29,11
Dawson Mercer,NJ,C,26,6,4,10,-8,6,46,0,3,0,0,0,7,18
Connor Zary,CGY,C,18,6,7,13,3,6,24,1,0,1,0,0,6,6
Matthew Knies,TOR,LW,25,6,5,11,-2,14,34,0,0,1,0,0,47,11
William Eklund,SJ,LW,27,6,7,13,-8,12,41,3,3,1,0,1,7,25
Yegor Chinakhov,CLS,RW,19,6,3,9,-4,4,31,2,1,0,0,0,19,14
Justin Danforth,CLS,RW,30,6,6,12,3,12,33,1,0,0,0,0,44,25
Juuso Parssinen,NSH,LW,27,5,2,7,-4,8,37,0,2,1,0,0,23,10
Justin Barron,MON,D,25,5,3,8,-3,14,29,0,0,0,0,0,30,44
Tyson Foerster,PHI,RW,26,5,6,11,7,6,55,0,3,1,0,0,20,16
Jake Sanderson,OTT,D,22,5,9,14,5,9,45,1,2,1,0,0,11,46
Will Cuylle,NYR,LW,26,5,2,7,-1,29,36,1,0,1,0,0,71,3
Alexei Toropchenko,STL,RW,27,5,3,8,-1,18,34,1,0,0,2,0,31,16
Morgan Barron,WPG,LW,26,5,2,7,2,6,38,1,0,1,0,0,24,19
Bowen Byram,COL,D,28,5,5,10,-2,32,40,0,0,0,0,0,26,40
Connor McMichael,WAS,C,25,5,7,12,0,6,39,2,0,0,1,1,8,10
Matthew Poitras,BOS,C,25,5,7,12,3,6,36,1,0,1,0,0,10,15
Tye Kartye,SEA,C,28,5,4,9,-4,25,55,0,0,0,0,0,54,6
Troy Terry,ANH,RW,27,5,10,15,-9,12,64,1,2,4,0,0,2,9
Dominik Kubalik,OTT,LW,22,5,1,6,-10,13,35,2,2,0,0,0,8,6
Kiefer Sherwood,NSH,LW,28,5,6,11,6,20,51,0,0,0,0,0,82,11
Alex Barre-Boulet,TB,C,22,5,3,8,-5,10,38,0,2,0,0,0,11,5
Noah Dobson,NYI,D,27,5,22,27,13,12,67,1,1,10,0,0,20,67
K'Andre Miller,NYR,D,26,5,7,12,5,14,34,3,0,0,0,1,24,34
Sean Durzi,ARI,D,25,5,8,13,8,33,44,1,3,4,0,0,9,53
Alexandre Texier,CLS,C,28,5,3,8,-9,10,39,0,0,1,0,0,9,12
Michael Rasmussen,DET,C,27,5,6,11,8,21,40,1,0,0,0,2,25,28
Mathieu Joseph,OTT,RW,22,5,12,17,10,25,42,2,0,0,0,1,17,14
Noah Hanifin,CGY,D,28,5,9,14,-2,8,49,1,1,3,0,0,17,39
Michael Amadio,VGK,C,28,5,10,15,11,4,45,0,2,2,0,0,8,12
Andrew Copp,DET,C,27,5,7,12,-2,14,50,1,1,1,0,1,4,16
Tyler Bertuzzi,TOR,LW,25,5,4,9,4,14,56,0,2,0,0,0,26,13
Timo Meier,NJ,LW,19,5,6,11,-15,12,54,0,3,3,0,0,21,7
Patrik Laine,CLS,RW,17,5,3,8,-12,6,40,0,1,1,0,0,4,14
Matthew Tkachuk,FLA,LW,27,5,15,20,0,26,104,0,0,6,0,0,29,10
Pierre-Luc Dubois,LA,C,25,5,6,11,-3,22,47,1,1,0,0,0,16,7
Sean Kuraly,CLS,C,30,5,4,9,-2,26,43,0,0,0,0,0,64,19
Jordan Kyrou,STL,RW,27,5,12,17,-8,6,88,0,0,4,0,0,12,13
Jakob Chychrun,OTT,D,22,5,10,15,2,12,55,0,1,7,0,0,8,37
Michael McLeod,NJ,C,26,5,5,10,3,2,45,0,0,0,0,0,45,8
Luke Kunin,SJ,C,23,5,2,7,-11,27,40,1,1,1,0,0,29,20
Adam Henrique,ANH,C,26,5,7,12,-7,10,39,1,2,3,0,2,18,19
Jason Zucker,ARI,LW,20,5,4,9,2,10,40,0,3,0,0,0,22,8
Brendan Gallagher,MON,RW,28,5,5,10,-12,24,65,1,1,2,0,0,17,9
Dougie Hamilton,NJ,D,20,5,11,16,-8,20,61,0,4,4,0,0,11,24
Ryan Nugent-Hopkins,EDM,LW,25,5,19,24,5,20,48,1,1,8,0,1,13,8
Brandon Saad,STL,LW,27,5,6,11,0,10,51,0,0,0,0,0,3,6
Evgeny Kuznetsov,WAS,C,22,5,6,11,-4,22,46,1,0,2,0,0,3,6
Jamie Benn,DAL,C,27,5,15,20,3,17,42,0,0,6,1,1,25,19
Victor Hedman,TB,D,29,5,22,27,-5,22,55,1,2,9,0,0,11,31
James van Riemsdyk,BOS,LW,25,5,11,16,2,6,54,2,3,4,0,0,5,6
